problem_id,ev_A,ev_B,ev_diff,max_value_A,max_value_B,max_value_diff,min_value_A,min_value_B,n_outcomes_B,has_safe_option_A,has_safe_option_B,ev_max_conflict,higher_ev_option,higher_max_option,feedback,ambiguity,corr,block,bRate,bRate_std,options_A,options_B
1768,12.0,14.8,-2.8,27.0,82.0,-55.0,7.0,-2.0,2,False,False,False,B,B,True,False,1,2,0.25,0.2476556749467561,"[[0.25, 27.0], [0.75, 7.0]]","[[0.8, -2.0], [0.2, 82.0]]"
1769,28.2,25.1,3.1,42.0,57.0,-15.0,19.0,22.0,4,False,False,True,A,B,True,False,0,5,0.5444444444444445,0.3745149368296233,"[[0.4, 42.0], [0.6, 19.0]]","[[0.9, 22.0], [0.05, 51.0], [0.025, 53.0], [0.024999999999999956, 57.0]]"
1772,6.0,7.5,-1.5,6.0,21.5,-15.5,6.0,-5.0,5,True,False,False,B,B,True,False,0,5,0.4875,0.35,"[[1.0, 6.0], [0.0, 6.0]]","[[0.5, -5.0], [0.0625, 18.5], [0.1875, 19.5], [0.1875, 20.5], [0.0625, 21.5]]"
1779,-8.0,-10.4,2.4,-8.0,10.0,-18.0,-8.0,-41.0,2,True,False,True,A,B,False,False,0,1,0.5500000000000002,0.3141125063837265,"[[1.0, -8.0], [0.0, -8.0]]","[[0.4, -41.0], [0.6, 10.0]]"
1779,-8.0,-10.4,2.4,-8.0,10.0,-18.0,-8.0,-41.0,2,True,False,True,A,B,True,False,0,4,0.5625,0.4395072999014541,"[[1.0, -8.0], [0.0, -8.0]]","[[0.4, -41.0], [0.6, 10.0]]"
1784,-8.0,-10.79,2.79,-8.0,11.0,-19.0,-8.0,-11.0,3,True,False,True,A,B,False,False,0,1,0.5374999999999999,0.3774917217635375,"[[1.0, -8.0], [0.0, -8.0]]","[[0.99, -11.0], [0.005, 11.0], [0.005000000000000058, 9.0]]"
1785,-10.0,-17.0,7.0,-10.0,26.5,-36.5,-10.0,-27.0,9,True,False,True,A,B,False,True,0,1,0.8,0.2633122354417533,"[[1.0, -10.0], [0.0, -10.0]]","[[0.8, -27.0], [0.0015625, 19.5], [0.010937500000000001, 20.5], [0.0328125, 21.5], [0.0546875, 22.5], [0.0546875, 23.5], [0.0328125, 24.5], [0.010937500000000001, 25.5], [0.0015625, 26.5]]"
1785,-10.0,-17.0,7.0,-10.0,26.5,-36.5,-10.0,-27.0,9,True,False,True,A,B,True,True,0,4,0.6799999999999998,0.2704493615131253,"[[1.0, -10.0], [0.0, -10.0]]","[[0.8, -27.0], [0.0015625, 19.5], [0.010937500000000001, 20.5], [0.0328125, 21.5], [0.0546875, 22.5], [0.0546875, 23.5], [0.0328125, 24.5], [0.010937500000000001, 25.5], [0.0015625, 26.5]]"
1786,6.8,9.1,-2.3,8.0,10.0,-2.0,5.0,-8.0,2,False,False,False,B,B,True,True,0,4,0.3875,0.3222318006239194,"[[0.6, 8.0], [0.4, 5.0]]","[[0.050000000000000044, -8.0], [0.95, 10.0]]"
1788,19.0,13.65,5.35,82.0,83.0,-1.0,-23.0,10.0,2,False,False,True,A,B,True,False,0,4,0.5176470588235295,0.3678234870791408,"[[0.4, 82.0], [0.6, -23.0]]","[[0.95, 10.0], [0.05, 83.0]]"
1795,-3.0,-4.15,1.15,21.0,70.0,-49.0,-9.0,-8.0,3,False,False,True,A,B,False,True,0,1,0.8750000000000001,0.2294921930407801,"[[0.2, 21.0], [0.8, -9.0]]","[[0.95, -8.0], [0.025, 70.0], [0.025000000000000067, 68.0]]"
1795,-3.0,-4.15,1.15,21.0,70.0,-49.0,-9.0,-8.0,3,False,False,True,A,B,True,True,0,2,0.8,0.2390457218668787,"[[0.2, 21.0], [0.8, -9.0]]","[[0.95, -8.0], [0.025, 70.0], [0.025000000000000067, 68.0]]"
1796,11.0,11.4,-0.4,23.0,23.0,0.0,7.0,-6.0,2,False,False,False,B,equal,False,False,-1,1,0.2375,0.2941088233970548,"[[0.25, 23.0], [0.75, 7.0]]","[[0.4, -6.0], [0.6, 23.0]]"
1796,11.0,11.4,-0.4,23.0,23.0,0.0,7.0,-6.0,2,False,False,False,B,equal,True,False,-1,3,0.3875,0.3461695153148719,"[[0.25, 23.0], [0.75, 7.0]]","[[0.4, -6.0], [0.6, 23.0]]"
1799,25.0,28.0,-3.0,25.0,75.0,-50.0,25.0,-19.0,2,True,False,False,B,B,True,True,0,3,0.4500000000000001,0.2875181153713043,"[[1.0, 25.0], [0.0, 25.0]]","[[0.5, -19.0], [0.5, 75.0]]"
1802,-5.2,-5.0,-0.2,10.0,6.0,4.0,-6.0,-8.0,4,False,False,True,B,A,True,False,0,4,0.46875,0.3468173266498029,"[[0.05, 10.0], [0.95, -6.0]]","[[0.5, -8.0], [0.25, -6.0], [0.125, -2.0], [0.125, 6.0]]"
1805,23.1,24.5,-1.4,42.0,104.0,-62.0,21.0,-29.0,6,False,False,False,B,B,True,False,0,3,0.3375,0.2895398648430529,"[[0.1, 42.0], [0.9, 21.0]]","[[0.5, -29.0], [0.25, 74.0], [0.125, 76.0], [0.0625, 80.0], [0.03125, 88.0], [0.03125, 104.0]]"
1807,5.0,11.5,-6.5,5.0,36.0,-31.0,5.0,-13.0,2,True,False,False,B,B,False,False,0,1,0.45,0.3898717737923586,"[[1.0, 5.0], [0.0, 5.0]]","[[0.5, -13.0], [0.5, 36.0]]"
1812,22.0,21.0,1.0,100.0,23.5,76.5,-4.0,18.5,7,False,False,False,A,A,False,False,0,1,0.5499999999999999,0.3966526608171605,"[[0.25, 100.0], [0.75, -4.0]]","[[0.4, 21.0], [0.01875, 18.5], [0.09375, 19.5], [0.1875, 20.5], [0.1875, 21.5], [0.09375, 22.5], [0.01875, 23.5]]"
1814,12.05,12.6,-0.55,13.0,29.0,-16.0,12.0,-12.0,2,False,False,False,B,B,False,False,0,1,0.325,0.3492849839314596,"[[0.05, 13.0], [0.95, 12.0]]","[[0.4, -12.0], [0.6, 29.0]]"
1830,8.0,7.35,0.65,8.0,44.0,-36.0,8.0,7.0,4,True,False,True,A,B,False,True,0,1,0.925,0.1437590576856521,"[[1.0, 8.0], [0.0, 8.0]]","[[0.99, 7.0], [0.005, 44.0], [0.0025, 42.0], [0.0025000000000000846, 38.0]]"
1831,24.0,24.4,-0.4,29.0,58.0,-29.0,19.0,16.0,2,False,False,False,B,B,True,False,0,3,0.4555555555555555,0.4047108222832725,"[[0.5, 29.0], [0.5, 19.0]]","[[0.8, 16.0], [0.2, 58.0]]"
1839,20.0,24.2,-4.2,20.0,107.0,-87.0,20.0,-31.0,2,True,False,False,B,B,False,False,0,1,0.2625,0.3159641329855864,"[[1.0, 20.0], [0.0, 20.0]]","[[0.6, -31.0], [0.4, 107.0]]"
1841,-6.0,-7.75,1.75,-6.0,-1.0,-5.0,-6.0,-28.0,2,True,False,True,A,B,True,False,0,4,0.7111111111111111,0.3579169947954395,"[[1.0, -6.0], [0.0, -6.0]]","[[0.25, -28.0], [0.75, -1.0]]"
1849,27.0,29.74,-2.74,29.0,33.5,-4.5,21.0,4.0,9,False,False,False,B,B,True,True,0,2,0.44375,0.4023619779381777,"[[0.75, 29.0], [0.25, 21.0]]","[[0.010000000000000009, 4.0], [0.007734375, 26.5], [0.054140625, 27.5], [0.162421875, 28.5], [0.270703125, 29.5], [0.270703125, 30.5], [0.162421875, 31.5], [0.054140625, 32.5], [0.007734375, 33.5]]"
1851,12.0,9.85,2.15,14.0,36.0,-22.0,-26.0,6.0,6,False,False,True,A,B,False,False,0,1,0.6625,0.3981205847478877,"[[0.95, 14.0], [0.050000000000000044, -26.0]]","[[0.050000000000000044, 7.0], [0.475, 6.0], [0.2375, 8.0], [0.11875, 12.0], [0.059375, 20.0], [0.05937500000000009, 36.0]]"
1852,-6.0,-4.5,-1.5,102.0,-3.0,105.0,-18.0,-9.0,2,False,False,True,B,A,False,False,0,1,0.4500000000000001,0.409878030638384,"[[0.1, 102.0], [0.9, -18.0]]","[[0.25, -9.0], [0.75, -3.0]]"
1852,-6.0,-4.5,-1.5,102.0,-3.0,105.0,-18.0,-9.0,2,False,False,True,B,A,True,False,0,3,0.4533333333333334,0.4172472146045293,"[[0.1, 102.0], [0.9, -18.0]]","[[0.25, -9.0], [0.75, -3.0]]"
1853,-10.0,-11.76,1.76,-10.0,12.5,-22.5,-10.0,-12.0,3,True,False,True,A,B,False,False,0,1,0.6625000000000001,0.3913651321549567,"[[1.0, -10.0], [0.0, -10.0]]","[[0.99, -12.0], [0.005, 11.5], [0.005, 12.5]]"
1855,13.0,22.5,-9.5,16.0,39.0,-23.0,-44.0,-27.0,2,False,False,False,B,B,True,False,1,3,0.4,0.3794733192202056,"[[0.95, 16.0], [0.050000000000000044, -44.0]]","[[0.25, -27.0], [0.75, 39.0]]"
1856,29.0,26.2,2.8,29.0,43.0,-14.0,29.0,22.0,2,True,False,True,A,B,True,False,0,5,0.5750000000000001,0.4434711565216691,"[[1.0, 29.0], [0.0, 29.0]]","[[0.8, 22.0], [0.2, 43.0]]"
1860,-10.0,-10.1,0.1,-5.0,45.0,-50.0,-25.0,-13.0,2,False,False,True,A,B,True,True,0,4,0.6705882352941176,0.2910427500435995,"[[0.75, -5.0], [0.25, -25.0]]","[[0.95, -13.0], [0.05, 45.0]]"
1864,17.35,17.0,0.35,43.0,20.5,22.5,16.0,13.5,8,False,False,False,A,A,True,False,0,2,0.6,0.3819454842528923,"[[0.05, 43.0], [0.95, 16.0]]","[[0.0078125, 13.5], [0.0546875, 14.5], [0.1640625, 15.5], [0.2734375, 16.5], [0.2734375, 17.5], [0.1640625, 18.5], [0.0546875, 19.5], [0.0078125, 20.5]]"
1872,28.8,36.74,-7.94,108.0,37.0,71.0,20.0,11.0,2,False,False,True,B,A,True,True,0,3,0.4125,0.389657969677682,"[[0.1, 108.0], [0.9, 20.0]]","[[0.010000000000000009, 11.0], [0.99, 37.0]]"
1873,21.3,18.0,3.3,25.0,20.0,5.0,-12.0,16.0,2,False,False,False,A,A,True,False,0,5,0.6470588235294119,0.3280961121737492,"[[0.9, 25.0], [0.09999999999999998, -12.0]]","[[0.5, 16.0], [0.5, 20.0]]"
1874,9.0,6.5,2.5,9.0,166.0,-157.0,9.0,-33.0,8,True,False,True,A,B,False,False,0,1,0.5499999999999999,0.4033195589934446,"[[1.0, 9.0], [0.0, 9.0]]","[[0.5, -33.0], [0.25, 40.0], [0.125, 42.0], [0.0625, 46.0], [0.03125, 54.0], [0.015625, 70.0], [0.0078125, 102.0], [0.0078125, 166.0]]"
1874,9.0,6.5,2.5,9.0,166.0,-157.0,9.0,-33.0,8,True,False,True,A,B,True,False,0,4,0.6375000000000001,0.4080441152620633,"[[1.0, 9.0], [0.0, 9.0]]","[[0.5, -33.0], [0.25, 40.0], [0.125, 42.0], [0.0625, 46.0], [0.03125, 54.0], [0.015625, 70.0], [0.0078125, 102.0], [0.0078125, 166.0]]"
1878,-7.0,-4.4,-2.6,-7.0,54.0,-61.0,-7.0,-19.0,2,True,False,False,B,B,True,False,0,3,0.4777777777777778,0.4291654768687105,"[[1.0, -7.0], [0.0, -7.0]]","[[0.8, -19.0], [0.2, 54.0]]"
1884,4.6,3.5,1.1,59.0,40.5,18.5,-9.0,-30.0,9,False,False,False,A,A,True,False,0,4,0.6777777777777777,0.3370382340949318,"[[0.2, 59.0], [0.8, -9.0]]","[[0.5, -30.0], [0.00390625, 33.5], [0.02734375, 34.5], [0.08203125, 35.5], [0.13671875, 36.5], [0.13671875, 37.5], [0.08203125, 38.5], [0.02734375, 39.5], [0.00390625, 40.5]]"
1888,-2.0,-0.6,-1.4,-2.0,30.0,-32.0,-2.0,-21.0,2,True,False,False,B,B,False,False,0,1,0.4375,0.4080441152620633,"[[1.0, -2.0], [0.0, -2.0]]","[[0.6, -21.0], [0.4, 30.0]]"
1890,23.8,22.5,1.3,27.0,27.5,-0.5,-5.0,22.0,3,False,False,True,A,B,False,True,0,1,0.8624999999999999,0.1746424919657298,"[[0.9, 27.0], [0.09999999999999998, -5.0]]","[[0.9, 22.0], [0.05, 26.5], [0.05, 27.5]]"
1890,23.8,22.5,1.3,27.0,27.5,-0.5,-5.0,22.0,3,False,False,True,A,B,True,True,0,5,0.5750000000000001,0.3991657967979388,"[[0.9, 27.0], [0.09999999999999998, -5.0]]","[[0.9, 22.0], [0.05, 26.5], [0.05, 27.5]]"
1891,29.0,26.5,2.5,29.0,48.5,-19.5,29.0,7.0,7,True,False,True,A,B,True,False,0,4,0.5647058823529411,0.3951916884098593,"[[1.0, 29.0], [0.0, 29.0]]","[[0.5, 7.0], [0.015625, 43.5], [0.078125, 44.5], [0.15625, 45.5], [0.15625, 46.5], [0.078125, 47.5], [0.015625, 48.5]]"
1893,26.0,28.69,-2.69,26.0,32.0,-6.0,26.0,-2.0,5,True,False,False,B,B,False,True,0,1,0.4375,0.3593976442141304,"[[1.0, 26.0], [0.0, 26.0]]","[[0.010000000000000009, -2.0], [0.495, 32.0], [0.2475, 30.0], [0.12375, 26.0], [0.12375000000000001, 18.0]]"
1894,-5.0,-12.25,7.25,-5.0,28.0,-33.0,-5.0,-22.0,5,True,False,True,A,B,True,False,0,2,0.5058823529411764,0.4249567452036944,"[[1.0, -5.0], [0.0, -5.0]]","[[0.75, -22.0], [0.125, 14.0], [0.0625, 16.0], [0.03125, 20.0], [0.03125, 28.0]]"
1898,0.0,-2.2,2.2,0.0,50.0,-50.0,0.0,-37.0,2,True,False,True,A,B,True,False,0,4,0.5875000000000001,0.3383784863137726,"[[1.0, 0.0], [0.0, 0.0]]","[[0.6, -37.0], [0.4, 50.0]]"
1901,-9.0,-12.2,3.2,-9.0,78.0,-87.0,-9.0,-34.0,5,True,False,True,A,B,False,False,0,1,0.725,0.3855731664245668,"[[1.0, -9.0], [0.0, -9.0]]","[[0.8, -34.0], [0.1, 78.0], [0.05, 76.0], [0.025, 72.0], [0.024999999999999956, 64.0]]"
1902,21.2,15.19,6.01,54.0,34.0,20.0,-28.0,15.0,2,False,False,False,A,A,False,True,0,1,0.7000000000000001,0.3183289703016885,"[[0.6, 54.0], [0.4, -28.0]]","[[0.99, 15.0], [0.01, 34.0]]"
1902,21.2,15.19,6.01,54.0,34.0,20.0,-28.0,15.0,2,False,False,False,A,A,True,True,0,2,0.5750000000000001,0.3255764119219941,"[[0.6, 54.0], [0.4, -28.0]]","[[0.99, 15.0], [0.01, 34.0]]"
1911,-10.05,-11.75,1.7,-9.0,31.0,-40.0,-30.0,-26.0,2,False,False,True,A,B,True,True,0,2,0.7764705882352941,0.3231280933405239,"[[0.95, -9.0], [0.050000000000000044, -30.0]]","[[0.75, -26.0], [0.25, 31.0]]"
1916,-9.0,-7.0,-2.0,71.0,23.0,48.0,-29.0,-17.0,2,False,False,True,B,A,False,False,0,1,0.4125,0.3827531841800928,"[[0.2, 71.0], [0.8, -29.0]]","[[0.75, -17.0], [0.25, 23.0]]"
1920,6.74,7.0,-0.26,80.0,7.0,73.0,6.0,7.0,1,False,True,True,B,A,False,False,0,1,0.43125,0.4035627624370297,"[[0.01, 80.0], [0.99, 6.0]]","[[1.0, 7.0]]"
1920,6.74,7.0,-0.26,80.0,7.0,73.0,6.0,7.0,1,False,True,True,B,A,True,False,0,5,0.3666666666666665,0.4072865734850297,"[[0.01, 80.0], [0.99, 6.0]]","[[1.0, 7.0]]"
1936,-5.0,-7.6,2.6,-5.0,34.0,-39.0,-5.0,-18.0,2,True,False,True,A,B,True,False,0,5,0.6549019607843137,0.3259475879115529,"[[1.0, -5.0], [0.0, -5.0]]","[[0.8, -18.0], [0.2, 34.0]]"
1939,14.6,16.0,-1.4,20.0,77.0,-57.0,-7.0,-22.0,4,False,False,False,B,B,False,False,-1,1,0.4625,0.3403429642777022,"[[0.8, 20.0], [0.19999999999999996, -7.0]]","[[0.6, -22.0], [0.2, 71.0], [0.1, 73.0], [0.09999999999999994, 77.0]]"
1939,14.6,16.0,-1.4,20.0,77.0,-57.0,-7.0,-22.0,4,False,False,False,B,B,True,False,-1,3,0.3875000000000001,0.3052321520853704,"[[0.8, 20.0], [0.19999999999999996, -7.0]]","[[0.6, -22.0], [0.2, 71.0], [0.1, 73.0], [0.09999999999999994, 77.0]]"
1940,17.0,16.2,0.8,92.0,74.0,18.0,-8.0,10.0,4,False,False,False,A,A,False,False,0,1,0.5375,0.4544227107000706,"[[0.25, 92.0], [0.75, -8.0]]","[[0.9, 10.0], [0.05, 74.0], [0.025, 72.0], [0.024999999999999956, 68.0]]"
1940,17.0,16.2,0.8,92.0,74.0,18.0,-8.0,10.0,4,False,False,False,A,A,True,False,0,2,0.5875,0.3964425136973413,"[[0.25, 92.0], [0.75, -8.0]]","[[0.9, 10.0], [0.05, 74.0], [0.025, 72.0], [0.024999999999999956, 68.0]]"
1943,28.2,28.0,0.2,29.0,30.5,-1.5,21.0,25.5,6,False,False,True,A,B,True,False,0,3,0.5375,0.448516071804196,"[[0.9, 29.0], [0.09999999999999998, 21.0]]","[[0.03125, 25.5], [0.15625, 26.5], [0.3125, 27.5], [0.3125, 28.5], [0.15625, 29.5], [0.03125, 30.5]]"
1944,30.0,30.2,-0.2,30.0,62.0,-32.0,30.0,9.0,2,True,False,False,B,B,False,False,0,1,0.4625,0.4364630568559039,"[[1.0, 30.0], [0.0, 30.0]]","[[0.6, 9.0], [0.4, 62.0]]"
1949,22.25,22.4,-0.15,23.0,63.0,-40.0,20.0,22.0,3,False,False,False,B,B,True,False,0,3,0.4823529411764706,0.4475423082201936,"[[0.75, 23.0], [0.25, 20.0]]","[[0.99, 22.0], [0.005, 61.0], [0.005000000000000058, 63.0]]"
1955,-7.7,-15.2,7.5,36.0,46.0,-10.0,-10.0,-22.0,2,False,False,True,A,B,False,True,-1,1,0.775,0.3172801075810879,"[[0.05, 36.0], [0.95, -10.0]]","[[0.9, -22.0], [0.1, 46.0]]"
1955,-7.7,-15.2,7.5,36.0,46.0,-10.0,-10.0,-22.0,2,False,False,True,A,B,True,True,-1,3,0.64,0.2529822128134703,"[[0.05, 36.0], [0.95, -10.0]]","[[0.9, -22.0], [0.1, 46.0]]"
1956,10.0,5.6,4.4,10.0,23.5,-13.5,10.0,-16.0,9,True,False,True,A,B,True,True,0,4,0.5294117647058824,0.3804022638641116,"[[1.0, 10.0], [0.0, 10.0]]","[[0.4, -16.0], [0.0046875, 16.5], [0.0328125, 17.5], [0.0984375, 18.5], [0.1640625, 19.5], [0.1640625, 20.5], [0.0984375, 21.5], [0.0328125, 22.5], [0.0046875, 23.5]]"
1957,11.7,9.4,2.3,27.0,51.0,-24.0,10.0,-1.0,2,False,False,True,A,B,True,True,0,3,0.5866666666666667,0.358302877997027,"[[0.1, 27.0], [0.9, 10.0]]","[[0.8, -1.0], [0.2, 51.0]]"
1962,-4.0,-5.0,1.0,-4.0,33.0,-37.0,-4.0,-43.0,2,True,False,True,A,B,True,False,0,5,0.6300000000000001,0.3450400434427102,"[[1.0, -4.0], [0.0, -4.0]]","[[0.5, -43.0], [0.5, 33.0]]"
1965,13.67,14.0,-0.33,14.0,22.0,-8.0,-19.0,-10.0,2,False,False,False,B,B,False,False,0,1,0.4125,0.4224926034855521,"[[0.99, 14.0], [0.010000000000000009, -19.0]]","[[0.25, -10.0], [0.75, 22.0]]"
1970,19.0,17.25,1.75,52.0,33.0,19.0,-14.0,12.0,2,False,False,False,A,A,False,False,1,1,0.6375000000000001,0.4514790508244356,"[[0.5, 52.0], [0.5, -14.0]]","[[0.75, 12.0], [0.25, 33.0]]"
1970,19.0,17.25,1.75,52.0,33.0,19.0,-14.0,12.0,2,False,False,False,A,A,True,False,1,4,0.5225806451612903,0.3602866242492264,"[[0.5, 52.0], [0.5, -14.0]]","[[0.75, 12.0], [0.25, 33.0]]"
1975,-10.2,-10.0,-0.2,-6.0,-7.5,1.5,-13.0,-12.5,6,False,False,True,B,A,False,False,0,1,0.475,0.3714835124201341,"[[0.4, -6.0], [0.6, -13.0]]","[[0.03125, -12.5], [0.15625, -11.5], [0.3125, -10.5], [0.3125, -9.5], [0.15625, -8.5], [0.03125, -7.5]]"
1978,-0.75,-1.0,0.25,27.0,-1.0,28.0,-10.0,-1.0,1,False,True,False,A,A,True,False,0,5,0.5647058823529412,0.3258473117707668,"[[0.25, 27.0], [0.75, -10.0]]","[[1.0, -1.0]]"
1981,13.0,11.4,1.6,13.0,40.5,-27.5,13.0,10.0,7,True,False,True,A,B,True,False,0,5,0.5263157894736841,0.4120977570959453,"[[1.0, 13.0], [0.0, 13.0]]","[[0.95, 10.0], [0.0015625, 35.5], [0.0078125, 36.5], [0.015625, 37.5], [0.015625, 38.5], [0.0078125, 39.5], [0.0015625, 40.5]]"
1982,-2.0,-0.8,-1.2,30.0,22.5,7.5,-34.0,-32.0,7,False,False,True,B,A,True,False,0,3,0.4933333333333333,0.3534860406754147,"[[0.5, 30.0], [0.5, -34.0]]","[[0.4, -32.0], [0.01875, 17.5], [0.09375, 18.5], [0.1875, 19.5], [0.1875, 20.5], [0.09375, 21.5], [0.01875, 22.5]]"
1985,-6.8,-6.0,-0.8,98.0,-6.0,104.0,-33.0,-6.0,2,False,False,True,B,A,False,False,0,1,0.3222222222222222,0.3299831645537222,"[[0.2, 98.0], [0.8, -33.0]]","[[0.75, -6.0], [0.25, -6.0]]"
1985,-6.8,-6.0,-0.8,98.0,-6.0,104.0,-33.0,-6.0,2,False,False,True,B,A,True,False,0,5,0.4625000000000001,0.3630886025935451,"[[0.2, 98.0], [0.8, -33.0]]","[[0.75, -6.0], [0.25, -6.0]]"
1991,-9.25,-9.0,-0.25,2.0,48.0,-46.0,-13.0,-14.0,6,False,False,False,B,B,True,False,0,5,0.3764705882352941,0.3865381801399214,"[[0.25, 2.0], [0.75, -13.0]]","[[0.5, -14.0], [0.25, -12.0], [0.125, -8.0], [0.0625, 0.0], [0.03125, 16.0], [0.03125, 48.0]]"
1992,8.0,10.8,-2.8,8.0,60.5,-52.5,8.0,-20.0,9,True,False,False,B,B,False,False,0,1,0.4500000000000001,0.2683281572999748,"[[1.0, 8.0], [0.0, 8.0]]","[[0.6, -20.0], [0.003125, 53.5], [0.021875000000000002, 54.5], [0.065625, 55.5], [0.109375, 56.5], [0.109375, 57.5], [0.065625, 58.5], [0.021875000000000002, 59.5], [0.003125, 60.5]]"
1993,-8.0,-9.65,1.65,-8.0,92.5,-100.5,-8.0,-15.0,3,True,False,True,A,B,False,False,0,1,0.6,0.3265986323710904,"[[1.0, -8.0], [0.0, -8.0]]","[[0.95, -15.0], [0.025, 91.5], [0.025, 92.5]]"
1993,-8.0,-9.65,1.65,-8.0,92.5,-100.5,-8.0,-15.0,3,True,False,True,A,B,True,False,0,3,0.6133333333333333,0.341983012666391,"[[1.0, -8.0], [0.0, -8.0]]","[[0.95, -15.0], [0.025, 91.5], [0.025, 92.5]]"
1996,11.2,13.6,-2.4,76.0,84.0,-8.0,4.0,-3.0,6,False,False,False,B,B,True,False,-1,2,0.3294117647058824,0.3601470287992686,"[[0.1, 76.0], [0.9, 4.0]]","[[0.8, -3.0], [0.1, 84.0], [0.05, 82.0], [0.025, 78.0], [0.0125, 70.0], [0.012499999999999978, 54.0]]"
2000,-3.0,-3.3,0.3,-3.0,13.5,-16.5,-3.0,-5.0,5,True,False,True,A,B,True,False,0,2,0.7466666666666666,0.3661901665736507,"[[1.0, -3.0], [0.0, -3.0]]","[[0.9, -5.0], [0.0125, 10.5], [0.037500000000000006, 11.5], [0.037500000000000006, 12.5], [0.0125, 13.5]]"
2007,27.0,26.2,0.8,27.0,59.0,-32.0,27.0,18.0,2,True,False,True,A,B,True,True,0,2,0.7066666666666668,0.3692979181920098,"[[1.0, 27.0], [0.0, 27.0]]","[[0.8, 18.0], [0.2, 59.0]]"
2008,25.0,22.0,3.0,25.0,50.5,-25.5,25.0,-4.0,7,True,False,True,A,B,True,False,0,4,0.5294117647058824,0.3670229997601529,"[[1.0, 25.0], [0.0, 25.0]]","[[0.5, -4.0], [0.015625, 45.5], [0.078125, 46.5], [0.15625, 47.5], [0.15625, 48.5], [0.078125, 49.5], [0.015625, 50.5]]"
2010,-4.0,-5.8,1.8,-4.0,8.0,-12.0,-4.0,-15.0,2,True,False,True,A,B,False,False,0,1,0.7000000000000001,0.3346640106136302,"[[1.0, -4.0], [0.0, -4.0]]","[[0.6, -15.0], [0.4, 8.0]]"
2011,9.0,6.5,2.5,93.0,16.5,76.5,-19.0,-22.0,3,False,False,False,A,A,False,False,0,1,0.55,0.4412104562073146,"[[0.25, 93.0], [0.75, -19.0]]","[[0.25, -22.0], [0.375, 15.5], [0.375, 16.5]]"
2011,9.0,6.5,2.5,93.0,16.5,76.5,-19.0,-22.0,3,False,False,False,A,A,True,False,0,5,0.5066666666666667,0.3990464825532173,"[[0.25, 93.0], [0.75, -19.0]]","[[0.25, -22.0], [0.375, 15.5], [0.375, 16.5]]"
2021,29.0,26.5,2.5,69.0,44.0,25.0,-11.0,12.0,5,False,False,False,A,A,True,False,0,4,0.6,0.3651483716701108,"[[0.5, 69.0], [0.5, -11.0]]","[[0.5, 12.0], [0.25, 44.0], [0.125, 42.0], [0.0625, 38.0], [0.0625, 30.0]]"
2027,23.0,25.5,-2.5,51.0,57.5,-6.5,16.0,15.0,3,False,False,False,B,B,True,False,0,2,0.4210526315789473,0.4103913408340617,"[[0.2, 51.0], [0.8, 16.0]]","[[0.75, 15.0], [0.125, 56.5], [0.125, 57.5]]"
2029,4.0,9.6,-5.6,16.0,64.0,-48.0,-4.0,-4.0,2,False,False,False,B,B,False,False,0,1,0.4352941176470589,0.4137347829083691,"[[0.4, 16.0], [0.6, -4.0]]","[[0.8, -4.0], [0.2, 64.0]]"
2029,4.0,9.6,-5.6,16.0,64.0,-48.0,-4.0,-4.0,2,False,False,False,B,B,True,False,0,3,0.3368421052631579,0.3832761208258632,"[[0.4, 16.0], [0.6, -4.0]]","[[0.8, -4.0], [0.2, 64.0]]"
2031,20.0,20.94,-0.94,20.0,21.5,-1.5,20.0,15.0,3,True,False,False,B,B,True,True,0,3,0.4509803921568628,0.3840785595021949,"[[1.0, 20.0], [0.0, 20.0]]","[[0.010000000000000009, 15.0], [0.495, 20.5], [0.495, 21.5]]"
2042,9.0,9.5,-0.5,54.0,28.0,26.0,-6.0,-46.0,2,False,False,True,B,A,False,False,0,1,0.375,0.3714835124201341,"[[0.25, 54.0], [0.75, -6.0]]","[[0.25, -46.0], [0.75, 28.0]]"
2045,-7.85,-8.6,0.75,-7.0,24.5,-31.5,-24.0,-16.0,9,False,False,True,A,B,False,False,-1,1,0.75,0.3055050463303893,"[[0.95, -7.0], [0.050000000000000044, -24.0]]","[[0.8, -16.0], [0.0015625, 17.5], [0.010937500000000001, 18.5], [0.0328125, 19.5], [0.0546875, 20.5], [0.0546875, 21.5], [0.0328125, 22.5], [0.010937500000000001, 23.5], [0.0015625, 24.5]]"
2045,-7.85,-8.6,0.75,-7.0,24.5,-31.5,-24.0,-16.0,9,False,False,True,A,B,True,False,-1,2,0.7176470588235295,0.3321055820775357,"[[0.95, -7.0], [0.050000000000000044, -24.0]]","[[0.8, -16.0], [0.0015625, 17.5], [0.010937500000000001, 18.5], [0.0328125, 19.5], [0.0546875, 20.5], [0.0546875, 21.5], [0.0328125, 22.5], [0.010937500000000001, 23.5], [0.0015625, 24.5]]"
2046,10.0,6.0,4.0,55.0,9.0,46.0,-20.0,5.0,2,False,False,False,A,A,True,False,1,4,0.6933333333333332,0.3011090610836324,"[[0.4, 55.0], [0.6, -20.0]]","[[0.75, 5.0], [0.25, 9.0]]"
